Date,Month,MonthSort,Year,Quarter,Channel,Source,Campaign,Impressions,Clicks,Spend,VideoViews,Conversions,Revenue,CTR_pct,CPM,CPC,ConversionRate_pct
2026-04-09,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Amazon Ad Server,LinkedIn Lead Gen,194548,5836,16049.0,29182,350,192500.0,2.9998,82.4938,2.75,5.9973
2026-03-07,Mar 2026,2026-03,2026,Q1 2026,Paid Search,StackAdapt,Bing Search,207855,6236,17149.0,31178,374,205700.0,3.0002,82.5046,2.75,5.9974
2026-03-24,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Google Analytics,Bing Search,214882,6446,17726.5,32232,387,212850.0,2.9998,82.4941,2.75,6.0037
2026-03-12,Mar 2026,2026-03,2026,Q1 2026,Paid Search,HubSpot,Brand Search,108155,3245,8923.75,16223,195,107250.0,3.0003,82.5089,2.75,6.0092
2025-12-20,Dec 2025,2025-12,2025,Q4 2025,Programmatic,HubSpot,Bing Search,54988,1650,4537.5,8248,99,54450.0,3.0007,82.518,2.75,6.0
2026-01-19,Jan 2026,2026-01,2026,Q1 2026,Paid Search,StackAdapt,Enterprise ABM,129412,3882,10675.5,19412,233,128150.0,2.9997,82.4924,2.75,6.0021
2026-02-22,Feb 2026,2026-02,2026,Q1 2026,Organic,Bing Ads,Bing Search,89079,2672,7348.0,13362,160,88000.0,2.9996,82.4886,2.75,5.988
2026-03-23,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Bing Ads,Facebook Prospecting,165861,4976,13684.0,24879,299,164450.0,3.0001,82.5028,2.75,6.0088
2026-01-15,Jan 2026,2026-01,2026,Q1 2026,Organic,Amazon Ad Server,Brand Search,198927,5968,16412.0,29839,358,196900.0,3.0001,82.5026,2.75,5.9987
2025-11-13,Nov 2025,2025-11,2025,Q4 2025,Paid Search,HubSpot,Email Nurture,71349,2140,5885.0,10702,128,70400.0,2.9993,82.4819,2.75,5.9813
2025-12-07,Dec 2025,2025-12,2025,Q4 2025,Paid Search,LinkedIn Ads,Brand Search,179424,5383,14803.25,26914,323,177650.0,3.0002,82.5043,2.75,6.0004
2026-02-04,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Facebook Ads,Enterprise ABM,214320,6430,17682.5,32148,386,212300.0,3.0002,82.5051,2.75,6.0031
2025-12-23,Dec 2025,2025-12,2025,Q4 2025,Organic,StackAdapt,Bing Search,64512,1935,5321.25,9677,116,63800.0,2.9994,82.4847,2.75,5.9948
2026-03-27,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Bing Ads,Bing Search,94459,2834,7793.5,14169,170,93500.0,3.0002,82.5067,2.75,5.9986
2026-03-06,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Amazon Ad Server,Facebook Prospecting,16478,494,1358.5,2472,30,16500.0,2.9979,82.4433,2.75,6.0729
2025-12-14,Dec 2025,2025-12,2025,Q4 2025,Organic,Amazon Ad Server,Demo Requests,169212,5076,13959.0,25382,305,167750.0,2.9998,82.4941,2.75,6.0087
2025-11-16,Nov 2025,2025-11,2025,Q4 2025,Paid Social,HubSpot,Retargeting Display,63184,1896,5214.0,9478,114,62700.0,3.0008,82.5209,2.75,6.0127
2026-04-03,Apr 2026,2026-04,2026,Q2 2026,Organic,Bing Ads,Competitor Search,164813,4944,13596.0,24722,297,163350.0,2.9998,82.4935,2.75,6.0073
2026-02-24,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Bing Ads,Bing Search,141614,4248,11682.0,21242,255,140250.0,2.9997,82.4918,2.75,6.0028
2026-03-06,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Google Ads,Brand Search,93876,2816,7744.0,14081,169,92950.0,2.9997,82.4918,2.75,6.0014
2026-02-28,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Facebook Ads,Bing Search,56741,1702,4680.5,8511,102,56100.0,2.9996,82.4889,2.75,5.9929
2025-11-23,Nov 2025,2025-11,2025,Q4 2025,Paid Social,StackAdapt,Google Nonbrand,46883,1406,3866.5,7032,84,46200.0,2.999,82.4713,2.75,5.9744
2026-03-01,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Google Analytics,LinkedIn Lead Gen,106971,3209,8824.75,16046,193,106150.0,2.9999,82.4967,2.75,6.0143
2026-02-04,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Bing Ads,Demo Requests,200102,6003,16508.25,30015,360,198000.0,3.0,82.4992,2.75,5.997
2026-03-04,Mar 2026,2026-03,2026,Q1 2026,Paid Social,StackAdapt,Retargeting Display,183960,5519,15177.25,27594,331,182050.0,3.0001,82.503,2.75,5.9975
2025-12-14,Dec 2025,2025-12,2025,Q4 2025,Paid Search,HubSpot,Brand Search,96051,2882,7925.5,14408,173,95150.0,3.0005,82.5135,2.75,6.0028
2026-01-31,Jan 2026,2026-01,2026,Q1 2026,Paid Social,LinkedIn Ads,Email Nurture,44094,1323,3638.25,6614,79,43450.0,3.0004,82.5112,2.75,5.9713
2026-02-16,Feb 2026,2026-02,2026,Q1 2026,Organic,LinkedIn Ads,Organic Content,228131,6844,18821.0,34220,411,226050.0,3.0,82.5008,2.75,6.0053
2025-11-13,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Bing Ads,Email Nurture,216572,6497,17866.75,32486,390,214500.0,2.9999,82.498,2.75,6.0028
2026-01-24,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Google Analytics,Facebook Prospecting,152406,4572,12573.0,22861,274,150700.0,2.9999,82.4968,2.75,5.993
2025-11-10,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Google Ads,Facebook Prospecting,73252,2198,6044.5,10988,132,72600.0,3.0006,82.5165,2.75,6.0055
2025-12-24,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Google Ads,Enterprise ABM,173195,5196,14289.0,25979,312,171600.0,3.0001,82.5024,2.75,6.0046
2026-02-24,Feb 2026,2026-02,2026,Q1 2026,Organic,HubSpot,Organic Content,136983,4109,11299.75,20547,247,135850.0,2.9996,82.4902,2.75,6.0112
2026-03-09,Mar 2026,2026-03,2026,Q1 2026,Organic,Facebook Ads,Facebook Prospecting,128103,3843,10568.25,19215,231,127050.0,2.9999,82.4981,2.75,6.0109
2025-11-05,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Amazon Ad Server,Retargeting Display,134097,4023,11063.25,20115,241,132550.0,3.0001,82.5018,2.75,5.9906
2025-12-06,Dec 2025,2025-12,2025,Q4 2025,Organic,Bing Ads,Enterprise ABM,33921,1018,2799.5,5088,61,33550.0,3.0011,82.53,2.75,5.9921
2026-04-05,Apr 2026,2026-04,2026,Q2 2026,Organic,HubSpot,Bing Search,33643,1009,2774.75,5046,61,33550.0,2.9991,82.4763,2.75,6.0456
2025-12-14,Dec 2025,2025-12,2025,Q4 2025,Organic,HubSpot,Email Nurture,93465,2804,7711.0,14020,168,92400.0,3.0001,82.5015,2.75,5.9914
2025-11-07,Nov 2025,2025-11,2025,Q4 2025,Organic,Bing Ads,Enterprise ABM,36804,1104,3036.0,5521,66,36300.0,2.9997,82.491,2.75,5.9783
2025-12-30,Dec 2025,2025-12,2025,Q4 2025,Paid Social,Amazon Ad Server,Organic Content,103316,3099,8522.25,15497,186,102300.0,2.9995,82.4872,2.75,6.0019
2026-03-27,Mar 2026,2026-03,2026,Q1 2026,Organic,HubSpot,Bing Search,194979,5849,16084.75,29247,351,193050.0,2.9998,82.4948,2.75,6.001
2026-04-03,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Google Analytics,LinkedIn Lead Gen,14096,423,1163.25,2114,25,13750.0,3.0009,82.5234,2.75,5.9102
2025-12-08,Dec 2025,2025-12,2025,Q4 2025,Paid Search,Facebook Ads,Facebook Prospecting,124872,3746,10301.5,18731,225,123750.0,2.9999,82.4965,2.75,6.0064
2025-12-29,Dec 2025,2025-12,2025,Q4 2025,Paid Social,StackAdapt,Brand Search,239753,7193,19780.75,35963,432,237600.0,3.0002,82.5047,2.75,6.0058
2026-01-09,Jan 2026,2026-01,2026,Q1 2026,Organic,Amazon Ad Server,Facebook Prospecting,130075,3902,10730.5,19511,234,128700.0,2.9998,82.4947,2.75,5.9969
2026-02-08,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Google Analytics,Awareness Push,81956,2459,6762.25,12293,148,81400.0,3.0004,82.5107,2.75,6.0187
2026-02-01,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Google Ads,LinkedIn Lead Gen,157089,4713,12960.75,23563,283,155650.0,3.0002,82.5058,2.75,6.0047
2026-01-23,Jan 2026,2026-01,2026,Q1 2026,Paid Social,HubSpot,Demo Requests,9696,291,800.25,1454,17,9350.0,3.0012,82.534,2.75,5.8419
2026-03-11,Mar 2026,2026-03,2026,Q1 2026,Paid Social,HubSpot,Organic Content,176698,5301,14577.75,26505,318,174900.0,3.0,82.5009,2.75,5.9989
2025-12-16,Dec 2025,2025-12,2025,Q4 2025,Paid Search,Amazon Ad Server,Enterprise ABM,16133,484,1331.0,2420,29,15950.0,3.0001,82.5017,2.75,5.9917
2025-12-04,Dec 2025,2025-12,2025,Q4 2025,Paid Search,LinkedIn Ads,Bing Search,53559,1607,4419.25,8034,96,52800.0,3.0004,82.5118,2.75,5.9739
2026-03-03,Mar 2026,2026-03,2026,Q1 2026,Programmatic,Google Ads,Email Nurture,239064,7172,19723.0,35860,430,236500.0,3.0,82.5009,2.75,5.9955
2026-01-06,Jan 2026,2026-01,2026,Q1 2026,Organic,Facebook Ads,Awareness Push,53068,1592,4378.0,7960,96,52800.0,2.9999,82.4979,2.75,6.0302
2026-04-18,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Amazon Ad Server,Organic Content,241482,7244,19921.0,36222,435,239250.0,2.9998,82.4948,2.75,6.005
2026-02-22,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Bing Ads,Brand Search,187704,5631,15485.25,28156,338,185900.0,2.9999,82.4982,2.75,6.0025
2025-11-10,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Bing Ads,Competitor Search,229450,6884,18931.0,34418,413,227150.0,3.0002,82.506,2.75,5.9994
2025-12-17,Dec 2025,2025-12,2025,Q4 2025,Paid Search,HubSpot,Enterprise ABM,229785,6894,18958.5,34468,414,227700.0,3.0002,82.5054,2.75,6.0052
2026-04-23,Apr 2026,2026-04,2026,Q2 2026,Programmatic,Google Ads,Competitor Search,139536,4186,11511.5,20930,251,138050.0,2.9999,82.4984,2.75,5.9962
2026-02-18,Feb 2026,2026-02,2026,Q1 2026,Paid Social,Facebook Ads,Facebook Prospecting,215712,6471,17795.25,32357,388,213400.0,2.9998,82.4954,2.75,5.996
2026-04-10,Apr 2026,2026-04,2026,Q2 2026,Programmatic,Bing Ads,Retargeting Display,149360,4481,12322.75,22404,269,147950.0,3.0001,82.5037,2.75,6.0031
2025-12-06,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Bing Ads,Demo Requests,85797,2574,7078.5,12870,154,84700.0,3.0001,82.5029,2.75,5.9829
2026-02-17,Feb 2026,2026-02,2026,Q1 2026,Organic,StackAdapt,Bing Search,230517,6916,19019.0,34578,415,228250.0,3.0002,82.5058,2.75,6.0006
2025-12-12,Dec 2025,2025-12,2025,Q4 2025,Programmatic,HubSpot,Google Nonbrand,220665,6620,18205.0,33100,397,218350.0,3.0,82.5006,2.75,5.997
2026-02-09,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Google Analytics,Google Nonbrand,50950,1529,4204.75,7643,92,50600.0,3.001,82.527,2.75,6.017
2026-02-03,Feb 2026,2026-02,2026,Q1 2026,Organic,HubSpot,Email Nurture,210048,6301,17327.75,31507,378,207900.0,2.9998,82.4942,2.75,5.999
2026-02-01,Feb 2026,2026-02,2026,Q1 2026,Paid Search,Google Ads,Demo Requests,213652,6410,17627.5,32048,385,211750.0,3.0002,82.5057,2.75,6.0062
2026-01-07,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Facebook Ads,Awareness Push,235112,7053,19395.75,35267,423,232650.0,2.9998,82.4958,2.75,5.9974
2026-03-13,Mar 2026,2026-03,2026,Q1 2026,Programmatic,StackAdapt,LinkedIn Lead Gen,105463,3164,8701.0,15819,190,104500.0,3.0001,82.5029,2.75,6.0051
2026-01-20,Jan 2026,2026-01,2026,Q1 2026,Programmatic,HubSpot,Email Nurture,159253,4778,13139.5,23888,287,157850.0,3.0003,82.5071,2.75,6.0067
2026-01-27,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Google Analytics,Brand Search,247012,7410,20377.5,37052,445,244750.0,2.9999,82.496,2.75,6.0054
2026-04-24,Apr 2026,2026-04,2026,Q2 2026,Paid Search,Amazon Ad Server,Demo Requests,56662,1700,4675.0,8499,102,56100.0,3.0002,82.5068,2.75,6.0
2026-01-22,Jan 2026,2026-01,2026,Q1 2026,Organic,HubSpot,Enterprise ABM,152570,4577,12586.75,22886,275,151250.0,2.9999,82.4982,2.75,6.0083
2026-02-16,Feb 2026,2026-02,2026,Q1 2026,Programmatic,Amazon Ad Server,Organic Content,129809,3894,10708.5,19471,234,128700.0,2.9998,82.4943,2.75,6.0092
2026-01-18,Jan 2026,2026-01,2026,Q1 2026,Paid Search,HubSpot,Bing Search,57014,1710,4702.5,8552,103,56650.0,2.9993,82.4797,2.75,6.0234
2025-11-11,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Facebook Ads,Enterprise ABM,114491,3435,9446.25,17174,206,113300.0,3.0002,82.5065,2.75,5.9971
2026-02-18,Feb 2026,2026-02,2026,Q1 2026,Paid Search,HubSpot,Brand Search,19107,573,1575.75,2866,34,18700.0,2.9989,82.4698,2.75,5.9337
2025-12-05,Dec 2025,2025-12,2025,Q4 2025,Organic,Bing Ads,Competitor Search,106071,3182,8750.5,15911,191,105050.0,2.9999,82.4966,2.75,6.0025
2025-12-16,Dec 2025,2025-12,2025,Q4 2025,Organic,StackAdapt,Demo Requests,34534,1036,2849.0,5180,62,34100.0,2.9999,82.4984,2.75,5.9846
2026-04-10,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Google Analytics,Organic Content,99668,2990,8222.5,14950,179,98450.0,3.0,82.4989,2.75,5.9866
2026-03-20,Mar 2026,2026-03,2026,Q1 2026,Paid Social,Google Analytics,Enterprise ABM,141240,4237,11651.75,21186,254,139700.0,2.9999,82.4961,2.75,5.9948
2026-01-21,Jan 2026,2026-01,2026,Q1 2026,Organic,LinkedIn Ads,Retargeting Display,248322,7450,20487.5,37248,447,245850.0,3.0001,82.5038,2.75,6.0
2026-01-19,Jan 2026,2026-01,2026,Q1 2026,Programmatic,StackAdapt,Brand Search,39167,1175,3231.25,5875,71,39050.0,3.0,82.4993,2.75,6.0426
2025-11-24,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Facebook Ads,Organic Content,113594,3408,9372.0,17039,204,112200.0,3.0002,82.5044,2.75,5.9859
2025-12-05,Dec 2025,2025-12,2025,Q4 2025,Programmatic,StackAdapt,Competitor Search,238020,7141,19637.75,35703,428,235400.0,3.0002,82.5046,2.75,5.9936
2025-11-09,Nov 2025,2025-11,2025,Q4 2025,Paid Social,HubSpot,Facebook Prospecting,147663,4430,12182.5,22149,266,146300.0,3.0001,82.502,2.75,6.0045
2025-11-13,Nov 2025,2025-11,2025,Q4 2025,Paid Search,Bing Ads,Demo Requests,192393,5772,15873.0,28859,346,190300.0,3.0001,82.503,2.75,5.9945
2025-12-09,Dec 2025,2025-12,2025,Q4 2025,Programmatic,Facebook Ads,LinkedIn Lead Gen,242269,7268,19987.0,36340,436,239800.0,3.0,82.4992,2.75,5.9989
2026-01-27,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Google Ads,Competitor Search,144325,4330,11907.5,21649,260,143000.0,3.0002,82.5048,2.75,6.0046
2026-03-13,Mar 2026,2026-03,2026,Q1 2026,Organic,Facebook Ads,Google Nonbrand,159018,4771,13120.25,23853,286,157300.0,3.0003,82.508,2.75,5.9946
2026-01-01,Jan 2026,2026-01,2026,Q1 2026,Programmatic,Facebook Ads,Email Nurture,185393,5562,15295.5,27809,334,183700.0,3.0001,82.5031,2.75,6.005
2026-01-04,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Facebook Ads,Demo Requests,220300,6609,18174.75,33045,397,218350.0,3.0,82.5,2.75,6.007
2026-02-15,Feb 2026,2026-02,2026,Q1 2026,Organic,Amazon Ad Server,Enterprise ABM,238409,7152,19668.0,35761,429,235950.0,2.9999,82.4969,2.75,5.9983
2025-10-31,Oct 2025,2025-10,2025,Q4 2025,Paid Search,Google Ads,Retargeting Display,101017,3031,8335.25,15153,182,100100.0,3.0005,82.5133,2.75,6.0046
2026-02-26,Feb 2026,2026-02,2026,Q1 2026,Organic,Google Analytics,Competitor Search,91494,2745,7548.75,13724,165,90750.0,3.0002,82.5054,2.75,6.0109
2025-11-22,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Google Analytics,Email Nurture,163319,4900,13475.0,24498,294,161700.0,3.0003,82.5072,2.75,6.0
2025-10-29,Oct 2025,2025-10,2025,Q4 2025,Organic,Google Analytics,Google Nonbrand,191687,5751,15815.25,28753,345,189750.0,3.0002,82.5056,2.75,5.999
2025-11-14,Nov 2025,2025-11,2025,Q4 2025,Paid Social,StackAdapt,Retargeting Display,69397,2082,5725.5,10410,125,68750.0,3.0001,82.5036,2.75,6.0038
2026-01-14,Jan 2026,2026-01,2026,Q1 2026,Organic,Google Analytics,LinkedIn Lead Gen,19412,582,1600.5,2912,35,19250.0,2.9981,82.449,2.75,6.0137
2025-12-16,Dec 2025,2025-12,2025,Q4 2025,Paid Social,HubSpot,Competitor Search,79551,2387,6564.25,11933,143,78650.0,3.0006,82.5162,2.75,5.9908
2026-01-14,Jan 2026,2026-01,2026,Q1 2026,Paid Search,Bing Ads,Brand Search,107870,3236,8899.0,16181,194,106700.0,2.9999,82.4975,2.75,5.9951
2026-03-19,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Facebook Ads,Retargeting Display,87494,2625,7218.75,13124,158,86900.0,3.0002,82.5057,2.75,6.019
2025-11-29,Nov 2025,2025-11,2025,Q4 2025,Paid Social,Amazon Ad Server,Google Nonbrand,190357,5711,15705.25,28554,343,188650.0,3.0002,82.5042,2.75,6.006
2025-11-17,Nov 2025,2025-11,2025,Q4 2025,Organic,Bing Ads,Enterprise ABM,184261,5528,15202.0,27639,332,182600.0,3.0001,82.5025,2.75,6.0058
2025-11-23,Nov 2025,2025-11,2025,Q4 2025,Programmatic,Google Ads,Facebook Prospecting,200615,6018,16549.5,30092,361,198550.0,2.9998,82.4938,2.75,5.9987
2025-12-25,Dec 2025,2025-12,2025,Q4 2025,Paid Search,HubSpot,Retargeting Display,64892,1947,5354.25,9734,117,64350.0,3.0004,82.5102,2.75,6.0092
2026-04-13,Apr 2026,2026-04,2026,Q2 2026,Paid Social,Bing Ads,LinkedIn Lead Gen,35393,1062,2920.5,5309,64,35200.0,3.0006,82.5163,2.75,6.0264
2025-11-17,Nov 2025,2025-11,2025,Q4 2025,Paid Social,LinkedIn Ads,Competitor Search,241030,7231,19885.25,36155,434,238700.0,3.0,82.5011,2.75,6.0019
2025-12-15,Dec 2025,2025-12,2025,Q4 2025,Programmatic,LinkedIn Ads,Google Nonbrand,248301,7449,20484.75,37245,447,245850.0,3.0,82.4997,2.75,6.0008
2026-01-28,Jan 2026,2026-01,2026,Q1 2026,Paid Social,Google Analytics,Email Nurture,241484,7245,19923.75,36223,435,239250.0,3.0002,82.5055,2.75,6.0041
2026-01-18,Jan 2026,2026-01,2026,Q1 2026,Organic,LinkedIn Ads,Organic Content,193801,5814,15988.5,29070,349,191950.0,3.0,82.4996,2.75,6.0028
2026-03-29,Mar 2026,2026-03,2026,Q1 2026,Paid Search,Facebook Ads,Awareness Push,20685,621,1707.75,3103,37,20350.0,3.0022,82.5598,2.75,5.9581
2025-12-06,Dec 2025,2025-12,2025,Q4 2025,Organic,LinkedIn Ads,Facebook Prospecting,117851,3536,9724.0,17678,212,116600.0,3.0004,82.511,2.75,5.9955
2026-01-07,Jan 2026,2026-01,2026,Q1 2026,Paid Social,HubSpot,Retargeting Display,233857,7016,19294.0,35079,421,231550.0,3.0001,82.5034,2.75,6.0006
